pct,k,precision,recall
1,15,0.6,0.0967741935483871
2,30,0.36666666666666664,0.11827956989247312
5,77,0.2857142857142857,0.23655913978494625
10,154,0.21428571428571427,0.3548387096774194
20,308,0.17857142857142858,0.5913978494623656
