Model,PR_AUC,ROC_AUC,Precision_at_5pct,Recall_at_5pct,Op_Threshold
XGBoost,0.2517708586835579,0.8346356775529287,0.2857142857142857,0.23655913978494625,0.5410387516021729
LightGBM,0.184642175655666,0.809675935201882,0.22077922077922077,0.1827956989247312,0.11226572863400397
Logistic Regression (Baseline),0.16765472100983825,0.8107927603018767,0.18181818181818182,0.15053763440860216,0.809262476366784
