Model,PR_AUC,ROC_AUC,Precision_at_5pct,Recall_at_5pct,Op_Threshold,CV_PR_AUC_mean
XGBoost (Optuna),0.3223014163730695,0.8595100811089592,0.3246753246753247,0.26881720430107525,0.7502431273460388,0.2620578086774976
OOF Stack (XGB + CatBoost),0.31435291778079183,0.8647120372225562,0.3116883116883117,0.25806451612903225,0.8143615729718028,
CatBoost (Optuna),0.28794750575723954,0.8629978405574479,0.2987012987012987,0.24731182795698925,0.7507915836399197,0.25380563575391796
